,finite_argument_clause__sluicing_2,complementive__position_adverb,finite_argument_clause__perception_of,r_words__adverbial,argument_structure__intransitive_unaccusative_1,wh_movement__filler_effect_gap,passive__impersonal,topicalization__question_similarity_1,relativization__island,wh_movement_restrictions__resumptive_prolepsis,r_words__weak_proform,wh_movement_restrictions__bridge_verb_2,topicalization__resumptive_prolepsis,argument_structure__argument_number_ditransitive,adpositional_phrases__argument_scrambling,relativization__resumptive_prolepsis,quantifiers__universal_difference_agreement_singular,infinitival_argument_clause__bare_verb_cluster,infinitival_argument_clause__te_om_te_difference_1,complementive__transitive,parasitic_gaps__scrambling,parasitic_gaps__structure_type_1,quantifiers__universal_difference_agreement_plural,nominalization__type_inf_1,infinitival_argument_clause__bare_verb_type_1,wh_movement__filler_effect_no_gap,auxiliaries__order_1,adpositional_phrases__argument_r_extraction,complementive__ditransitive,complementive__position_verb,infinitival_argument_clause__verb_type,extraposition__adjectival_supplementive,adverbial_modification__position_type,anaphor_agreement__person,auxiliaries__semi_aspectual_2,argument_structure__ditransitive_nomdat_1,passive__ditransitive_2,determiners__geen_scrambling_1,crossing_dependencies__cross_dependency,finite_argument_clause__position,passive__aci,infinitival_argument_clause__te_transparant_split,wh_movement_restrictions__island_2,verb_second__order_embedded,wh_movement__stranding_1,passive__ditransitive_1,infinitival_argument_clause__bare_verb_type_3,determiners__geen_scrambling_2,argument_structure__argument_number_in_transitive,binding_principle_a__monomorphemic,argument_structure__ditransitive_nomdat_2,infinitival_argument_clause__om_te,verb_second__order_main,parasitic_gaps__structure_type_3,anaphor_agreement__number,wh_movement_restrictions__island_1,wh_movement__hierarchy,finite_argument_clause__perception_dat,wh_movement__stranding_2,adverbial_modification__position_proform,auxiliaries__order_2,determiners__negative_polarity,complementive__intransitive,argument_structure__intransitive_unaccusative_3,auxiliaries__semi_aspectual_1,infinitival_argument_clause__te_om_te_difference_2,wh_movement_restrictions__superiority,parasitic_gaps__structure_type_2,determiners__geen_expletive,argument_structure__ditransitive_nomdat_3,infinitival_argument_clause__bare_verb_type_2,nominalization__type_inf_2,finite_argument_clause__sluicing_1,extraposition__argument_nominal,wh_movement__question_formation,extraposition__adjectival_adverbial,argument_structure__intransitive_unaccusative_2,topicalization__island,auxiliaries__perfect,finite_argument_clause__complementizer,binding_principle_a__c_command,relativization__pied_piping,topicalization__question_similarity_2,wh_movement_restrictions__bridge_verb_1
nominalization__type_inf_1,1.0,7.0,3.0,43.0,17.0,11.0,3.0,10.0,20.0,4.0,20.0,14.0,19.0,7.0,16.0,24.0,14.0,16.0,31.0,7.0,28.0,29.0,19.0,870.0,11.0,8.0,36.0,10.0,5.0,15.0,9.0,11.0,8.0,4.0,7.0,14.0,33.0,17.0,14.0,24.0,12.0,17.0,14.0,10.0,20.0,23.0,11.0,8.0,6.0,5.0,18.0,21.0,3.0,24.0,15.0,16.0,26.0,9.0,16.0,11.0,8.0,5.0,22.0,32.0,14.0,16.0,18.0,23.0,34.0,30.0,7.0,15.0,10.0,10.0,4.0,22.0,42.0,12.0,22.0,12.0,1.0,9.0,8.0,18.0
infinitival_argument_clause__bare_verb_type_1,8.0,9.0,9.0,25.0,6.0,27.0,0.0,20.0,22.0,3.0,11.0,11.0,18.0,8.0,17.0,8.0,4.0,7.0,9.0,2.0,13.0,13.0,9.0,11.0,870.0,31.0,30.0,16.0,3.0,31.0,24.0,11.0,8.0,13.0,9.0,8.0,6.0,10.0,24.0,15.0,11.0,14.0,15.0,13.0,21.0,11.0,22.0,8.0,11.0,12.0,13.0,15.0,7.0,4.0,11.0,27.0,5.0,9.0,13.0,9.0,21.0,21.0,70.0,3.0,7.0,6.0,23.0,19.0,34.0,17.0,8.0,22.0,7.0,70.0,7.0,33.0,3.0,18.0,13.0,20.0,7.0,2.0,14.0,20.0
wh_movement__filler_effect_no_gap,10.0,35.0,13.0,8.0,23.0,0.0,1.0,4.0,15.0,5.0,12.0,5.0,14.0,24.0,30.0,3.0,6.0,20.0,11.0,7.0,7.0,3.0,3.0,8.0,31.0,870.0,27.0,26.0,19.0,35.0,5.0,38.0,34.0,15.0,10.0,0.0,4.0,22.0,34.0,38.0,8.0,19.0,16.0,30.0,15.0,5.0,54.0,23.0,27.0,17.0,23.0,9.0,23.0,6.0,7.0,9.0,7.0,54.0,19.0,12.0,13.0,6.0,9.0,0.0,24.0,33.0,18.0,4.0,39.0,17.0,21.0,29.0,18.0,15.0,15.0,26.0,2.0,29.0,20.0,69.0,4.0,24.0,31.0,25.0
auxiliaries__order_1,2.0,23.0,13.0,76.0,35.0,38.0,7.0,33.0,26.0,11.0,15.0,14.0,15.0,32.0,38.0,19.0,4.0,51.0,18.0,18.0,56.0,17.0,6.0,36.0,30.0,27.0,870.0,30.0,5.0,61.0,23.0,40.0,23.0,8.0,14.0,13.0,21.0,28.0,71.0,34.0,28.0,47.0,20.0,29.0,32.0,21.0,11.0,26.0,30.0,3.0,41.0,75.0,27.0,0.0,26.0,27.0,26.0,13.0,24.0,33.0,45.0,6.0,44.0,16.0,22.0,13.0,48.0,34.0,61.0,79.0,20.0,49.0,6.0,30.0,21.0,46.0,10.0,10.0,125.0,48.0,17.0,45.0,36.0,35.0
adpositional_phrases__argument_r_extraction,9.0,17.0,10.0,5.0,8.0,14.0,8.0,12.0,19.0,9.0,34.0,9.0,13.0,33.0,19.0,16.0,9.0,18.0,10.0,18.0,25.0,0.0,2.0,10.0,16.0,26.0,30.0,870.0,4.0,14.0,11.0,18.0,13.0,7.0,28.0,0.0,1.0,10.0,34.0,22.0,34.0,19.0,25.0,21.0,28.0,0.0,27.0,34.0,26.0,6.0,12.0,12.0,13.0,4.0,4.0,11.0,7.0,20.0,24.0,26.0,32.0,16.0,21.0,0.0,12.0,15.0,23.0,12.0,31.0,29.0,20.0,22.0,8.0,16.0,16.0,22.0,0.0,18.0,21.0,11.0,6.0,15.0,15.0,28.0
complementive__ditransitive,11.0,15.0,4.0,8.0,34.0,8.0,81.0,9.0,8.0,30.0,12.0,6.0,21.0,54.0,15.0,4.0,50.0,34.0,3.0,6.0,3.0,3.0,2.0,5.0,3.0,19.0,5.0,4.0,870.0,13.0,22.0,36.0,20.0,29.0,20.0,5.0,3.0,27.0,23.0,4.0,11.0,29.0,5.0,30.0,7.0,6.0,25.0,28.0,36.0,12.0,6.0,2.0,56.0,3.0,6.0,8.0,24.0,49.0,11.0,11.0,24.0,7.0,0.0,1.0,51.0,3.0,7.0,10.0,6.0,24.0,112.0,19.0,10.0,8.0,58.0,11.0,2.0,3.0,31.0,15.0,32.0,17.0,29.0,11.0
complementive__position_verb,23.0,321.0,20.0,20.0,50.0,41.0,8.0,32.0,15.0,15.0,24.0,2.0,36.0,100.0,28.0,29.0,11.0,178.0,16.0,51.0,42.0,2.0,3.0,15.0,31.0,35.0,61.0,14.0,13.0,870.0,24.0,160.0,148.0,97.0,12.0,0.0,12.0,51.0,104.0,20.0,45.0,69.0,29.0,168.0,20.0,2.0,72.0,116.0,61.0,64.0,79.0,22.0,110.0,0.0,7.0,30.0,22.0,76.0,22.0,120.0,69.0,9.0,19.0,4.0,91.0,15.0,34.0,9.0,37.0,60.0,52.0,20.0,18.0,36.0,37.0,134.0,3.0,14.0,75.0,81.0,33.0,35.0,54.0,10.0
infinitival_argument_clause__verb_type,11.0,18.0,12.0,21.0,40.0,15.0,6.0,11.0,19.0,5.0,2.0,9.0,27.0,43.0,25.0,16.0,22.0,21.0,9.0,8.0,13.0,18.0,17.0,9.0,24.0,5.0,23.0,11.0,22.0,24.0,870.0,15.0,33.0,11.0,25.0,49.0,16.0,25.0,21.0,24.0,6.0,25.0,18.0,15.0,10.0,23.0,6.0,9.0,59.0,2.0,22.0,134.0,27.0,7.0,13.0,16.0,36.0,30.0,20.0,17.0,48.0,20.0,47.0,19.0,28.0,5.0,21.0,10.0,42.0,45.0,38.0,18.0,4.0,25.0,17.0,18.0,28.0,14.0,39.0,10.0,22.0,14.0,62.0,14.0
extraposition__adjectival_supplementive,29.0,104.0,6.0,7.0,74.0,20.0,19.0,18.0,27.0,26.0,17.0,3.0,23.0,84.0,18.0,19.0,12.0,157.0,9.0,33.0,28.0,4.0,3.0,11.0,11.0,38.0,40.0,18.0,36.0,160.0,15.0,870.0,82.0,62.0,11.0,1.0,4.0,35.0,56.0,19.0,38.0,51.0,15.0,132.0,7.0,5.0,108.0,77.0,47.0,22.0,66.0,14.0,108.0,1.0,1.0,22.0,26.0,113.0,19.0,67.0,53.0,9.0,32.0,10.0,93.0,10.0,29.0,13.0,27.0,76.0,69.0,17.0,6.0,32.0,40.0,137.0,9.0,30.0,47.0,67.0,25.0,34.0,42.0,19.0
adverbial_modification__position_type,22.0,298.0,13.0,3.0,69.0,2.0,21.0,13.0,8.0,16.0,21.0,0.0,66.0,69.0,38.0,16.0,22.0,194.0,10.0,85.0,21.0,0.0,6.0,8.0,8.0,34.0,23.0,13.0,20.0,148.0,33.0,82.0,870.0,90.0,17.0,0.0,8.0,31.0,93.0,0.0,27.0,92.0,17.0,132.0,7.0,0.0,54.0,134.0,46.0,70.0,46.0,11.0,130.0,0.0,12.0,9.0,49.0,121.0,7.0,128.0,76.0,10.0,8.0,3.0,105.0,21.0,15.0,14.0,12.0,31.0,57.0,15.0,5.0,13.0,31.0,44.0,1.0,8.0,46.0,84.0,34.0,77.0,98.0,5.0
anaphor_agreement__person,15.0,98.0,13.0,0.0,57.0,8.0,5.0,12.0,5.0,15.0,6.0,2.0,42.0,85.0,2.0,16.0,18.0,109.0,9.0,53.0,14.0,0.0,0.0,4.0,13.0,15.0,8.0,7.0,29.0,97.0,11.0,62.0,90.0,870.0,17.0,0.0,2.0,39.0,92.0,0.0,72.0,67.0,1.0,122.0,1.0,0.0,63.0,69.0,28.0,275.0,66.0,0.0,141.0,1.0,7.0,9.0,26.0,70.0,8.0,135.0,39.0,7.0,2.0,0.0,62.0,3.0,7.0,5.0,9.0,30.0,59.0,4.0,9.0,10.0,24.0,44.0,1.0,34.0,50.0,40.0,24.0,53.0,104.0,2.0
auxiliaries__semi_aspectual_2,4.0,27.0,43.0,7.0,3.0,14.0,11.0,13.0,17.0,6.0,13.0,5.0,8.0,33.0,22.0,6.0,7.0,20.0,7.0,16.0,10.0,1.0,3.0,7.0,9.0,10.0,14.0,28.0,20.0,12.0,25.0,11.0,17.0,17.0,870.0,0.0,0.0,12.0,28.0,17.0,31.0,19.0,14.0,10.0,6.0,3.0,12.0,12.0,28.0,7.0,38.0,21.0,10.0,1.0,7.0,11.0,4.0,9.0,2.0,18.0,42.0,21.0,8.0,10.0,10.0,7.0,15.0,11.0,24.0,38.0,19.0,10.0,11.0,18.0,14.0,14.0,24.0,8.0,49.0,13.0,23.0,19.0,24.0,14.0
argument_structure__ditransitive_nomdat_1,1.0,0.0,5.0,20.0,298.0,0.0,3.0,4.0,6.0,2.0,0.0,15.0,20.0,2.0,16.0,19.0,18.0,1.0,15.0,4.0,15.0,43.0,40.0,14.0,8.0,0.0,13.0,0.0,5.0,0.0,49.0,1.0,0.0,0.0,0.0,870.0,22.0,10.0,0.0,12.0,2.0,9.0,6.0,1.0,16.0,138.0,1.0,0.0,1.0,1.0,0.0,37.0,1.0,31.0,51.0,8.0,44.0,0.0,9.0,0.0,1.0,1.0,44.0,3.0,5.0,2.0,5.0,23.0,8.0,0.0,5.0,9.0,3.0,5.0,4.0,2.0,0.0,4.0,5.0,5.0,19.0,4.0,4.0,15.0
passive__ditransitive_2,2.0,10.0,5.0,31.0,7.0,4.0,0.0,11.0,12.0,1.0,4.0,18.0,38.0,3.0,17.0,35.0,21.0,9.0,64.0,31.0,21.0,62.0,52.0,33.0,6.0,4.0,21.0,1.0,3.0,12.0,16.0,4.0,8.0,2.0,0.0,22.0,870.0,20.0,4.0,26.0,15.0,6.0,0.0,7.0,37.0,0.0,6.0,3.0,7.0,1.0,68.0,24.0,5.0,90.0,40.0,8.0,33.0,3.0,31.0,8.0,14.0,1.0,19.0,134.0,5.0,20.0,24.0,55.0,13.0,77.0,8.0,6.0,2.0,7.0,7.0,6.0,133.0,10.0,25.0,14.0,7.0,5.0,13.0,11.0
determiners__geen_scrambling_1,12.0,36.0,5.0,29.0,33.0,12.0,6.0,19.0,6.0,9.0,30.0,9.0,14.0,35.0,12.0,13.0,8.0,68.0,20.0,25.0,24.0,7.0,14.0,17.0,10.0,22.0,28.0,10.0,27.0,51.0,25.0,35.0,31.0,39.0,12.0,10.0,20.0,870.0,34.0,22.0,15.0,36.0,14.0,44.0,12.0,5.0,32.0,36.0,19.0,28.0,32.0,22.0,58.0,6.0,6.0,14.0,31.0,27.0,9.0,44.0,32.0,3.0,14.0,11.0,44.0,15.0,28.0,12.0,14.0,40.0,42.0,25.0,9.0,11.0,16.0,25.0,8.0,13.0,64.0,18.0,29.0,18.0,33.0,11.0
crossing_dependencies__cross_dependency,0.0,109.0,9.0,8.0,83.0,45.0,7.0,13.0,21.0,19.0,21.0,4.0,38.0,79.0,35.0,24.0,15.0,132.0,22.0,29.0,29.0,0.0,4.0,14.0,24.0,34.0,71.0,34.0,23.0,104.0,21.0,56.0,93.0,92.0,28.0,0.0,4.0,34.0,870.0,13.0,49.0,74.0,7.0,133.0,21.0,9.0,79.0,94.0,31.0,47.0,58.0,8.0,115.0,2.0,11.0,21.0,32.0,75.0,22.0,105.0,66.0,13.0,16.0,3.0,63.0,19.0,32.0,8.0,20.0,53.0,48.0,10.0,6.0,12.0,35.0,72.0,3.0,27.0,68.0,47.0,25.0,69.0,106.0,13.0
finite_argument_clause__position,25.0,11.0,8.0,20.0,10.0,11.0,1.0,26.0,20.0,5.0,19.0,15.0,7.0,15.0,29.0,11.0,24.0,6.0,22.0,5.0,20.0,7.0,11.0,24.0,15.0,38.0,34.0,22.0,4.0,20.0,24.0,19.0,0.0,0.0,17.0,12.0,26.0,22.0,13.0,870.0,12.0,4.0,18.0,6.0,25.0,10.0,15.0,10.0,40.0,0.0,17.0,86.0,9.0,5.0,16.0,12.0,23.0,23.0,23.0,2.0,42.0,13.0,18.0,23.0,9.0,12.0,21.0,20.0,42.0,26.0,2.0,41.0,12.0,27.0,8.0,32.0,20.0,22.0,49.0,46.0,5.0,11.0,16.0,25.0
passive__aci,6.0,43.0,6.0,6.0,10.0,19.0,16.0,8.0,7.0,10.0,22.0,4.0,24.0,14.0,9.0,13.0,14.0,68.0,24.0,37.0,27.0,3.0,4.0,12.0,11.0,8.0,28.0,34.0,11.0,45.0,6.0,38.0,27.0,72.0,31.0,2.0,15.0,15.0,49.0,12.0,870.0,28.0,6.0,46.0,14.0,1.0,44.0,34.0,9.0,53.0,29.0,7.0,33.0,2.0,10.0,15.0,16.0,29.0,23.0,91.0,26.0,8.0,9.0,8.0,31.0,25.0,26.0,11.0,10.0,36.0,10.0,6.0,20.0,11.0,17.0,23.0,24.0,10.0,33.0,25.0,11.0,17.0,31.0,7.0
infinitival_argument_clause__te_transparant_split,7.0,94.0,7.0,21.0,88.0,42.0,42.0,18.0,19.0,11.0,25.0,4.0,36.0,63.0,51.0,23.0,21.0,172.0,26.0,53.0,48.0,9.0,11.0,17.0,14.0,19.0,47.0,19.0,29.0,69.0,25.0,51.0,92.0,67.0,19.0,9.0,6.0,36.0,74.0,4.0,28.0,870.0,20.0,103.0,19.0,7.0,49.0,103.0,36.0,36.0,60.0,5.0,63.0,0.0,7.0,19.0,35.0,63.0,11.0,131.0,55.0,15.0,18.0,4.0,163.0,32.0,24.0,11.0,29.0,43.0,103.0,18.0,17.0,22.0,57.0,42.0,3.0,16.0,53.0,34.0,43.0,103.0,83.0,7.0
wh_movement_restrictions__island_2,6.0,19.0,8.0,19.0,5.0,18.0,8.0,26.0,13.0,23.0,21.0,10.0,7.0,22.0,21.0,14.0,8.0,16.0,19.0,5.0,9.0,12.0,3.0,14.0,15.0,16.0,20.0,25.0,5.0,29.0,18.0,15.0,17.0,1.0,14.0,6.0,0.0,14.0,7.0,18.0,6.0,20.0,870.0,15.0,10.0,4.0,6.0,29.0,26.0,7.0,10.0,27.0,7.0,1.0,6.0,21.0,10.0,10.0,9.0,6.0,20.0,17.0,34.0,4.0,12.0,29.0,15.0,11.0,27.0,25.0,14.0,16.0,7.0,19.0,12.0,32.0,4.0,14.0,15.0,23.0,12.0,14.0,13.0,25.0
verb_second__order_embedded,2.0,196.0,15.0,1.0,124.0,16.0,13.0,14.0,15.0,22.0,24.0,5.0,46.0,93.0,19.0,32.0,23.0,328.0,26.0,71.0,35.0,1.0,3.0,10.0,13.0,30.0,29.0,21.0,30.0,168.0,15.0,132.0,132.0,122.0,10.0,1.0,7.0,44.0,133.0,6.0,46.0,103.0,15.0,870.0,6.0,1.0,131.0,153.0,38.0,87.0,44.0,1.0,141.0,0.0,18.0,18.0,32.0,98.0,29.0,190.0,58.0,7.0,15.0,0.0,131.0,35.0,20.0,13.0,10.0,54.0,77.0,13.0,2.0,7.0,51.0,90.0,0.0,22.0,56.0,69.0,50.0,65.0,105.0,4.0
wh_movement__stranding_1,4.0,4.0,2.0,55.0,7.0,16.0,5.0,31.0,12.0,3.0,19.0,10.0,10.0,18.0,35.0,32.0,20.0,8.0,13.0,14.0,30.0,17.0,28.0,20.0,21.0,15.0,32.0,28.0,7.0,20.0,10.0,7.0,7.0,1.0,6.0,16.0,37.0,12.0,21.0,25.0,14.0,19.0,10.0,6.0,870.0,19.0,6.0,6.0,29.0,0.0,36.0,23.0,0.0,11.0,14.0,18.0,17.0,2.0,236.0,8.0,25.0,3.0,19.0,37.0,5.0,11.0,62.0,23.0,20.0,37.0,8.0,26.0,16.0,9.0,12.0,22.0,16.0,13.0,33.0,8.0,6.0,21.0,8.0,18.0
passive__ditransitive_1,2.0,0.0,8.0,18.0,102.0,0.0,3.0,5.0,6.0,3.0,4.0,16.0,16.0,7.0,15.0,24.0,19.0,2.0,23.0,4.0,10.0,45.0,32.0,23.0,11.0,5.0,21.0,0.0,6.0,2.0,23.0,5.0,0.0,0.0,3.0,138.0,0.0,5.0,9.0,10.0,1.0,7.0,4.0,1.0,19.0,870.0,0.0,0.0,15.0,0.0,2.0,37.0,1.0,14.0,36.0,10.0,26.0,1.0,21.0,2.0,0.0,2.0,39.0,15.0,4.0,3.0,6.0,17.0,30.0,7.0,10.0,12.0,5.0,16.0,3.0,2.0,23.0,22.0,18.0,8.0,30.0,4.0,20.0,14.0
infinitival_argument_clause__bare_verb_type_3,12.0,63.0,2.0,8.0,64.0,15.0,14.0,5.0,26.0,9.0,16.0,0.0,24.0,56.0,12.0,9.0,14.0,111.0,22.0,18.0,32.0,2.0,4.0,11.0,22.0,54.0,11.0,27.0,25.0,72.0,6.0,108.0,54.0,63.0,12.0,1.0,6.0,32.0,79.0,15.0,44.0,49.0,6.0,131.0,6.0,0.0,870.0,71.0,24.0,30.0,35.0,11.0,64.0,3.0,26.0,15.0,18.0,185.0,8.0,68.0,35.0,6.0,11.0,4.0,67.0,26.0,19.0,3.0,18.0,31.0,55.0,13.0,24.0,27.0,28.0,84.0,3.0,56.0,26.0,54.0,14.0,23.0,54.0,14.0
determiners__geen_scrambling_2,9.0,157.0,8.0,8.0,77.0,20.0,12.0,21.0,8.0,18.0,7.0,5.0,57.0,49.0,26.0,36.0,25.0,166.0,28.0,44.0,33.0,0.0,1.0,8.0,8.0,23.0,26.0,34.0,28.0,116.0,9.0,77.0,134.0,69.0,12.0,0.0,3.0,36.0,94.0,10.0,34.0,103.0,29.0,153.0,6.0,0.0,71.0,870.0,36.0,45.0,32.0,12.0,92.0,0.0,9.0,20.0,30.0,85.0,10.0,118.0,45.0,14.0,4.0,0.0,99.0,40.0,27.0,4.0,12.0,46.0,67.0,13.0,6.0,7.0,38.0,49.0,4.0,14.0,29.0,60.0,35.0,57.0,73.0,9.0
argument_structure__argument_number_in_transitive,33.0,49.0,7.0,16.0,21.0,35.0,14.0,19.0,19.0,14.0,22.0,15.0,38.0,144.0,37.0,13.0,21.0,37.0,7.0,7.0,30.0,3.0,6.0,6.0,11.0,27.0,30.0,26.0,36.0,61.0,59.0,47.0,46.0,28.0,28.0,1.0,7.0,19.0,31.0,40.0,9.0,36.0,26.0,38.0,29.0,15.0,24.0,36.0,870.0,13.0,61.0,43.0,47.0,2.0,12.0,18.0,10.0,46.0,13.0,31.0,48.0,25.0,45.0,14.0,47.0,10.0,26.0,19.0,50.0,86.0,86.0,45.0,20.0,18.0,26.0,35.0,9.0,27.0,69.0,64.0,8.0,25.0,40.0,24.0
binding_principle_a__monomorphemic,4.0,88.0,8.0,0.0,51.0,5.0,5.0,1.0,1.0,24.0,11.0,8.0,10.0,41.0,4.0,6.0,11.0,71.0,4.0,25.0,6.0,0.0,1.0,5.0,12.0,17.0,3.0,6.0,12.0,64.0,2.0,22.0,70.0,275.0,7.0,1.0,1.0,28.0,47.0,0.0,53.0,36.0,7.0,87.0,0.0,0.0,30.0,45.0,13.0,870.0,41.0,0.0,107.0,0.0,11.0,8.0,12.0,54.0,11.0,113.0,6.0,5.0,1.0,1.0,38.0,7.0,4.0,5.0,3.0,6.0,35.0,7.0,2.0,16.0,10.0,15.0,2.0,18.0,52.0,30.0,11.0,50.0,96.0,0.0
argument_structure__ditransitive_nomdat_2,6.0,56.0,9.0,35.0,23.0,22.0,3.0,18.0,33.0,4.0,18.0,16.0,54.0,75.0,19.0,31.0,15.0,74.0,30.0,26.0,48.0,23.0,22.0,18.0,13.0,23.0,41.0,12.0,6.0,79.0,22.0,66.0,46.0,66.0,38.0,0.0,68.0,32.0,58.0,17.0,29.0,60.0,10.0,44.0,36.0,2.0,35.0,32.0,61.0,41.0,870.0,28.0,52.0,19.0,11.0,13.0,24.0,40.0,13.0,53.0,26.0,10.0,27.0,189.0,50.0,7.0,19.0,24.0,21.0,200.0,61.0,33.0,14.0,22.0,37.0,36.0,141.0,31.0,96.0,63.0,17.0,24.0,54.0,20.0
infinitival_argument_clause__om_te,3.0,8.0,4.0,64.0,30.0,21.0,3.0,38.0,19.0,1.0,4.0,10.0,11.0,25.0,49.0,11.0,21.0,7.0,15.0,11.0,37.0,31.0,24.0,21.0,15.0,9.0,75.0,12.0,2.0,22.0,134.0,14.0,11.0,0.0,21.0,37.0,24.0,22.0,8.0,86.0,7.0,5.0,27.0,1.0,23.0,37.0,11.0,12.0,43.0,0.0,28.0,870.0,10.0,18.0,15.0,17.0,41.0,20.0,17.0,3.0,53.0,21.0,37.0,32.0,11.0,13.0,32.0,33.0,49.0,55.0,22.0,41.0,3.0,25.0,13.0,23.0,27.0,12.0,77.0,37.0,16.0,9.0,38.0,23.0
verb_second__order_main,13.0,154.0,11.0,3.0,108.0,7.0,10.0,11.0,21.0,24.0,11.0,2.0,37.0,89.0,32.0,22.0,17.0,158.0,6.0,29.0,18.0,2.0,0.0,3.0,7.0,23.0,27.0,13.0,56.0,110.0,27.0,108.0,130.0,141.0,10.0,1.0,5.0,58.0,115.0,9.0,33.0,63.0,7.0,141.0,0.0,1.0,64.0,92.0,47.0,107.0,52.0,10.0,870.0,9.0,12.0,4.0,26.0,95.0,6.0,113.0,51.0,5.0,17.0,1.0,84.0,5.0,30.0,18.0,25.0,39.0,70.0,19.0,8.0,9.0,37.0,41.0,0.0,22.0,80.0,66.0,44.0,63.0,109.0,9.0
